,name,description,ingredients,steps
5834,italian grilled chicken and grape tomato salad,"italian grilled chicken and grape tomato salad with wish bone romano basil vinaigrette dressing, boneless, skinless chicken breast halves, torn romaine lettuce leaves, grape tomatoes, grated parmesan cheese, italian seasoned croutons","1.0 cup wish bone romano basil vinaigrette dressing, 4.0 boneless, skinless chicken breast halves, 6.0 cup torn romaine lettuce leaves, 1.0 cup grape tomatoes, 0.2 cup grated parmesan cheese, 0.5 cup italian seasoned croutons","pour 1/2 cup wish bone romano basil vinaigrette dressing over chicken in large, shallow nonaluminum baking dish or plastic bag turn to coat . cover, or close bag, and marinate in refrigerator, turning occasionally, 30 minutes to 3 hours . remove chicken from marinade, discarding marinade . grill or broil chicken, turning once and brushing with 1/4 cup dressing, 12 minutes or until chicken is thoroughly cooked . toss romaine with remaining 1/4 cup dressing in large serving bowl . top with sliced chicken, tomatoes, cheese and croutons . serve, if desired, with freshly ground black pepper and additional dressing."
644,nyc deli salmon mousse dip,"nyc deli salmon mousse dip with hellmann' or best food real mayonnais, cream cheese, snip fresh dill, lemon juice, purple onion, capers, smoked salmon","2.0 tablespoon hellmann' or best food real mayonnais, 8.0 ounce cream cheese, 1.0 tablespoon snip fresh dill, 2.0 teaspoon lemon juice, 0.2 cup purple onion, 1.0 teaspoon capers, 3.0 ounce smoked salmon","combine hellmann's or best foods real mayonnaise, cream cheese, dill and lemon juice in medium bowl until smooth . gently stir in onion, capers and salmon . cover and refrigerate until ready to use . serve, if desired, with bagel chips, crackers and/or assorted vegetables."
5410,mediterranean potato and green bean salad,"mediterranean potato and green bean salad with red potatoes, green beans, wish bone balsamic vinaigrette dressing, red bell pepper","2.0 pound red potatoes, 0.5 pound green beans, 0.5 cup wish bone balsamic vinaigrette dressing, 1.0 red bell pepper","cover potatoes with water in 4 quart saucepot, adding salt, if desired . bring to a boil over high heat . reduce heat to low and simmer 8 minutes . add green beans and simmer 5 minutes or until potatoes are tender . drain and rinse with cold water until completely cool . in large bowl, combine all ingredients . serve chilled or at room temperature and, if desired, on green leaf lettuce."
2766,turkey santa fe lettuce wraps,"these santa fe turkey lettuce wraps are so good, you'll want to save some leftover turkey just to make them or leftover chicken breast would work too","1 tsp olive oil, 1/4 cup minced red bell peppers, 1/4 cup minced scallions, 12 oz leftover turkey breast, 2/3 cup frozen corn, 1/2 cup canned black beans, 1/2 cup frozen spinach, 2 tbsp diced jarred jalapeno peppers, 1 teaspoon cumin, 1 teaspoon chili powder, 1/2 teaspoon kosher salt, 1 cup reduced fat shredded mexican cheese blend, 8 large iceburg lettuce leaves, 12 tbsp avocado cilantro ranch dressing","heat the oil in a large skillet over medium high heat . add the red bell pepper and scallions to the pan and saute for 2 minutes until tender . add the diced turkey, corn, black beans, spinach, jalapeno peppers, cumin, chili powder, salt, and cayenne pepper to the pan . cook for another 3 to 4 minutes, stirring well so the spinach gets mixed in with everything . place about 1/3 cup of turkey mixture in the center of each lettuce leaf . top each wrap with 2 tbsp cheese and 1 1/2 tbsp avocado sauce if desired."
5941,baked sweet potato skins,"these cheesy baked sweet potato skins are loaded with fat free black refried beans, salsa and cheddar cheese . just a few ingredients but they taste so good","6 small sweet potatoes, olive oil cooking spray, 1/2 tablespoon taco seasoning, 1/4 teaspoon kosher salt, freshly ground black pepper, 1 cup fat free refried black beans, 3/4 cup salsa, 3/4 cup shredded reduced fat cheddar, 2 scallions, 1 tablespoons chopped cilantro","preheat oven to 400 degrees f . adjust oven rack to center of oven . place whole sweet potatoes on a sheet pan covered in foil or parchment, poke each a few times with a fork . bake until fork tender, 40 45 minutes . allow to cool for 10 minutes . switch oven from bake to broil . meanwhile in a small bowl combine black beans with taco seasoning . cut sweet potatoes in half and carefully scoop out flesh with a metal spoon, leaving about 1/4 inch of flesh intact . place potatoes, skin side up back on the sheet pan, spray with olive oil, top with pinch salt and pepper, and broil for 2 to 3 minutes . remove skins from oven, turn over and fill each with black beans, 1 tbsp salsa and 1 tbsp cheese then return to oven to broil 2 minutes more . top with each skin with scallions and cilantro and eat right away."
4518,greek chicken burgers,"greek chicken burgers a lighter recipe that's popping with garden flavors, smothered in a feta and dill yogurt sauce, and topped with sweet red peppers.","1.0 pound ground chicken, 1.5 cup fresh spinach, 0.1 cup red onion, 2.0 tablespoon fronds, 1.0 tablespoon minced garlic, 0.3 cup feta crumbles, 1.0 tablespoon worcestershire sauce, 0.2 teaspoon salt, cracked pepper, 1.0 tablespoon olive oil, 4.0 burger buns, 1.0 roasted red pepper, feta, 1.0 cup greek yogurt, 0.5 cup feta crumbles, 1.0 tablespoon dill, 1.0 tablespoon fresh lemon juice, 0.1 teaspoon salt, cracked pepper",for a full set of directions go to http //simpleseasonal.com/recipes/sandwiches/greek chicken burgers
4182,onrainkajino /com992.com/ kajinojuso ss saseolbakaracuceon emkajino,kajinocuceon /com992.com/ kajinojuso kajinocuceon kajinosaiteu saseolbakaracuceon onrainbakara bakarasaiteu saseolkajinocuceon maseuteokajino inteonesbakara bakarasaiteu /com992.com/ weoldeukajino inteoneskajino bakarasaiteu emkajino bakaracuceon saseolbakaracuceon ju saseolkajino saseolbakarasaiteu kajinosaiteu kajinocuceon /com992.com/ kajinojuso kajinocuceon kajinosaiteu saseolbakaracuceon onrainbakara bakarasaiteu saseolkajinocuceon maseuteokajino inteonesbakara bakarasaiteu /com992.com/ weoldeukajino inteoneskajino bakarasaiteu emkajino bakaracuceon saseolbakaracuceon ju saseolkajino saseolbakarasaiteu kajinosaiteu gogaegsenteoneun 24sigan daegijungimyeo 070 7847 5879 ro yeonragjusimyeon deougdeo jasehan naeyong sangdam ganeunghasibnida . kajinosaiteu kajinojuso kajinocuceon bakarasaiteu bakarajuso bakaracuceon saseolkajino saseolbakara maseuteokajino saseolkajinosaiteu saseolbakarasaiteu,none none,onrainbakara c o m 9 9 2 . c o m inteonesbakara inteoneskajino inteoneskajino onrainbakara c o m 9 9 2 . c o m inteonesbakara inteoneskajino inteoneskajino onrainbakara c o m 9 9 2 . c o m inteonesbakara inteoneskajino inteoneskajino
3841,flourless peanut butter chocolate chip cookies,here is a great recipe for soft and chewy flourless peanut butter chocolate chip cookies.,"0.5 teaspoon baking soda, 0.2 teaspoon fine sea salt, 1.0 egg, 0.5 cup light brown sugar, 0.8 cup all natural peanut butter, 0.5 cup mini chocolate chips","preheat the oven to 350degf . line a sheet pan with parchment paper and set aside . place the baking soda, salt, and egg in a large mixing bowl and whisk together until lightly frothy . add in the brown sugar and whisk until smooth . add in the peanut butter, 1/4 cup at a time, and mix with a spoon until well combined and a dough forms . fold in the chocolate chips . to form cookies about 12 per batch, scoop a tablespoon of dough onto the prepared sheet pan . repeat with the remaining dough . lightly push the top of the dough down to flatten it slightly . bake the cookies until the tops are crinkled and the bottoms are golden brown, about 9 minutes . check to see that cookies are done . remove from oven or add time as needed . allow the cookies to cool completely on the sheet pan . serve when cooled."
588,artichokes in a curry ginger sauce,"get a taste of india if you love foods with a zing, then this recipe is for you . this is a great way to eat artichokes if you don't like them, as the flavor is greatly masked by the onion, cloves, curry, and ginger . add more curry if you can stand the heat.","vegetable oil, 0.5 onion, 1.0 garlic clove, 8.0 ounce artichoke hearts, 1.0 tablespoon flour, 200.0 milliliter chicken stock, 1.0 tablespoon curry powder, ground ginger","saute the onion and garlic in a tablespoon of oil . once translucent, add the drained and halved artichokes . after 3 minutes, add the flour . cook for 1 minute, and add the stock . add the curry powder and a pinch of ginger and simmer 5 minutes."
3763,all choco cookies,"chocolate brings joy and laughter to any occasion . these all choco cookies are guaranteed to satisfy the sweet tooth and create a celebration anywhere they are served . this recipe combines dark chocolate with milk chocolate for a dreamy and creamy cookie that will melt in your mouth . you might want to make a double or triple batch and invite your friends over for an afternoon if gossip, laughter, coffee and cookies they will love you for it.","1.0 egg, 100.0 gram flour, 100.0 gram butter, 80.0 gram brown sugar, 100.0 gram dark chocolate, 80.0 gram milk chocolate, 0.5 teaspoon baking powder, 1.0 teaspoon vanilla flavored sugar, salt","preheat oven to 400 degrees fahrenheit . melt the dark chocolate in a double boiler with 2 tablespoons of water . in a bowl, mix brown sugar, vanilla flavored sugar, egg, flour, baking powder, and a pinch of salt . melt the butter in the microwave, then stir into sugar mixture . add melted chocolate and mix . chop milk chocolate into small chunks, then add to the dough, folding to combine . form small heaps of dough on a silicone mat or parchment paper lined pan . bake for 10 to 15 minutes."
5187,skinny apple cobbler,none,"2 1/2 lbs gala apples, 1/2 cup honey, 2 tbsp cornstarch, 1/2 tsp cinnamon, 1/4 tsp nutmeg, pinch of salt, 2 tbsp fresh lemon juice, 1/2 cup water, 1/4 cup king arthur white whole wheat flour, 1/4 cup king arthur all purpose flour, 2 tbsp granulated sugar, 1/2 tsp baking powder, 1/4 tsp baking soda, 2 tbsp chilled whipped butter, 1/3 cup low fat buttermilk, 1 tbsp canola oil, 1 tsp light brown sugar","in a large heavy pot, combine all of the apple filling ingredients and simmer on low heat for about 25 minutes, gently stirring occasionally until the apples are soft . divide warm apples into 6 8 oz ramekins . preheat the oven to 400deg . in a medium bowl, whisk flours, granulated sugar, baking powder, baking soda and salt . cut in chilled butter must be cold using a pastry cutter or 2 knives until pebble sized pieces are formed . in a small bowl combine buttermilk and oil mix well . add to the dry mixture and mix until just moistened, careful not to over mix . spoon the batter over the apples in the ramekins . sprinkle with brown sugar and bake 30 minutes, until apples are bubbling and the topping is golden . let it stand 8 to 10 minutes before eating."
